lag,whitened_autocorr
934,-0.000015
935,-0.000019
936,-0.000015
937,-0.000025
938,-0.000035
939,-0.000034
940,-0.000032
941,-0.000018
942,-0.000027
943,-0.000031
944,-0.000019
945,-0.000011
946,-0.000013
947,-0.000016
948,-0.000018
949,-0.000021
950,-0.000019
951,-0.000014
952,-0.000028
953,-0.000022
954,-0.000009
955,-0.000022
956,-0.000030
957,-0.000023
958,-0.000020
959,-0.000035
960,-0.000039
961,-0.000039
962,-0.000027
963,-0.000028
964,-0.000037
965,-0.000038
966,-0.000032
967,-0.000036
968,-0.000027
969,-0.000021
970,-0.000043
971,-0.000038
972,-0.000027
973,-0.000031
974,-0.000026
975,-0.000027
976,-0.000040
977,-0.000014
978,-0.000015
979,-0.000020
980,-0.000013
981,-0.000025
982,-0.000037
983,-0.000031
984,-0.000020
985,-0.000016
986,-0.000008
987,-0.000017
988,-0.000024
989,-0.000032
990,-0.000037
991,-0.000036
992,-0.000017
993,-0.000016
994,-0.000021
995,-0.000010
996,-0.000010
997,-0.000019
998,-0.000033
999,-0.000010
1000,-0.000018
1001,-0.000033
1002,-0.000012
1003,-0.000013
1004,-0.000024
1005,-0.000021
1006,-0.000018
1007,-0.000013
1008,-0.000016
1009,-0.000021
1010,-0.000033
1011,-0.000036
1012,-0.000035
1013,-0.000027
1014,-0.000024
1015,-0.000015
1016,-0.000030
1017,-0.000038
1018,-0.000027
1019,-0.000017
1020,0.000039
1021,0.000034
1022,0.000014
1023,0.000101
